Level Name:,Time Limit:
Zero Rule,1
One Rule,1
2 + 2,1
2 + 3,1
2 + 4,1
2 + 5,1
2 + 6,1
2 + 7,1
2 + 8 ,1
3 + 3,1
3 + 4,1
3 + 5,1
3 + 6,1
3 + 7,1
4 + 4,1
4 + 5,1
4 + 6,1
5 + 5,1
Level Name:,Question Name:,Operand1:,Operator:,Operand2:,Question Type:,Question Frequency:
Zero Rule,Question 1,0,+,1,1,1
Zero Rule,Question 2,0,+,2,1,1
Zero Rule,Question 3,0,+,3,1,1
Zero Rule,Question 4,0,+,4,1,1
Zero Rule,Question 5,0,+,5,1,1
Zero Rule,Question 6,0,+,6,1,1
Zero Rule,Question 7,0,+,7,1,1
Zero Rule,Question 8,0,+,8,1,1
Zero Rule,Question 9,0,+,9,1,1
Zero Rule,Question 10,1,+,0,1,1
Zero Rule,Question 11,2,+,0,1,1
Zero Rule,Question 12,3,+,0,1,1
Zero Rule,Question 13,4,+,0,1,1
Zero Rule,Question 14,5,+,0,1,1
Zero Rule,Question 15,6,+,0,1,1
Zero Rule,Question 16,7,+,0,1,1
Zero Rule,Question 17,8,+,0,1,1
Zero Rule,Question 18,9,+,0,1,1
One Rule,Question 1,1,+,1,1,1
One Rule,Question 2,1,+,2,1,1
One Rule,Question 3,1,+,3,1,1
One Rule,Question 4,1,+,4,1,1
One Rule,Question 5,1,+,5,1,1
One Rule,Question 6,1,+,6,1,1
One Rule,Question 7,1,+,7,1,1
One Rule,Question 8,1,+,8,1,1
One Rule,Question 9,1,+,9,1,1
One Rule,Question 10,9,+,1,1,1
One Rule,Question 11,8,+,1,1,1
One Rule,Question 12,7,+,1,1,1
One Rule,Question 13,6,+,1,1,1
One Rule,Question 14,5,+,1,1,1
One Rule,Question 15,4,+,1,1,1
One Rule,Question 16,3,+,1,1,1
One Rule,Question 17,2,+,1,1,1
One Rule,Question 18,1,+,0,1,1
2 + 2,Question 1,2,+,2,1,1
2 + 2,Question 2,1,+,0,1,1
2 + 2,Question 3,2,+,2,1,1
2 + 2,Question 4,1,+,1,1,1
2 + 2,Question 5,2,+,2,1,1
2 + 2,Question 6,3,+,1,1,1
2 + 2,Question 7,2,+,2,1,1
2 + 2,Question 8,0,+,9,1,1
2 + 2,Question 9,2,+,2,1,1
2 + 2,Question 10,8,+,0,1,1
2 + 2,Question 11,2,+,2,1,1
2 + 2,Question 12,0,+,7,1,1
2 + 2,Question 13,2,+,2,1,1
2 + 2,Question 14,0,+,6,1,1
2 + 2,Question 15,5,+,0,1,1
2 + 2,Question 16,0,+,4,1,1
2 + 2,Question 17,3,+,0,1,1
2 + 2,Question 18,0,+,2,1,1
2 + 3,Question 1,2,+,3,1,1
2 + 3,Question 2,2,+,2,1,1
2 + 3,Question 3,3,+,2,1,1
2 + 3,Question 4,2,+,2,1,1
2 + 3,Question 5,2,+,3,1,1
2 + 3,Question 6,2,+,2,1,1
2 + 3,Question 7,3,+,2,1,1
2 + 3,Question 8,1,+,4,1,1
2 + 3,Question 9,2,+,3,1,1
2 + 3,Question 10,5,+,1,1,1
2 + 3,Question 11,3,+,2,1,1
2 + 3,Question 12,1,+,6,1,1
2 + 3,Question 13,2,+,3,1,1
2 + 3,Question 14,1,+,7,1,1
2 + 3,Question 15,1,+,0,1,1
2 + 3,Question 16,0,+,2,1,1
2 + 3,Question 17,3,+,0,1,1
2 + 3,Question 18,0,+,4,1,1
2 + 4,Question 1,2,+,4,1,1
2 + 4,Question 2,2,+,3,1,1
2 + 4,Question 3,4,+,2,1,1
2 + 4,Question 4,3,+,2,1,1
2 + 4,Question 5,2,+,4,1,1
2 + 4,Question 6,2,+,3,1,1
2 + 4,Question 7,4,+,2,1,1
2 + 4,Question 8,1,+,8,1,1
2 + 4,Question 9,2,+,4,1,1
2 + 4,Question 10,9,+,1,1,1
2 + 4,Question 11,4,+,2,1,1
2 + 4,Question 12,1,+,7,1,1
2 + 4,Question 13,2,+,4,1,1
2 + 4,Question 14,2,+,2,1,1
2 + 4,Question 15,8,+,0,1,1
2 + 4,Question 16,0,+,7,1,1
2 + 4,Question 17,6,+,0,1,1
2 + 4,Question 18,0,+,5,1,1
2 + 5,Question 1,2,+,5,1,1
2 + 5,Question 2,2,+,4,1,1
2 + 5,Question 3,5,+,2,1,1
2 + 5,Question 4,4,+,2,1,1
2 + 5,Question 5,2,+,5,1,1
2 + 5,Question 6,2,+,4,1,1
2 + 5,Question 7,5,+,2,1,1
2 + 5,Question 8,3,+,2,1,1
2 + 5,Question 9,2,+,5,1,1
2 + 5,Question 10,2,+,3,1,1
2 + 5,Question 11,5,+,2,1,1
2 + 5,Question 12,2,+,2,1,1
2 + 5,Question 13,2,+,5,1,1
2 + 5,Question 14,2,+,2,1,1
2 + 5,Question 15,1,+,6,1,1
2 + 5,Question 16,5,+,1,1,1
2 + 5,Question 17,0,+,9,1,1
2 + 5,Question 18,1,+,0,1,1
2 + 6,Question 1,2,+,6,1,1
2 + 6,Question 2,2,+,5,1,1
2 + 6,Question 3,6,+,2,1,1
2 + 6,Question 4,5,+,2,1,1
2 + 6,Question 5,2,+,6,1,1
2 + 6,Question 6,2,+,5,1,1
2 + 6,Question 7,6,+,2,1,1
2 + 6,Question 8,4,+,2,1,1
2 + 6,Question 9,2,+,6,1,1
2 + 6,Question 10,2,+,3,1,1
2 + 6,Question 11,6,+,2,1,1
2 + 6,Question 12,2,+,2,1,1
2 + 6,Question 13,2,+,6,1,1
2 + 6,Question 14,2,+,0,1,1
2 + 6,Question 15,0,+,3,1,1
2 + 6,Question 16,4,+,1,1,1
2 + 6,Question 17,1,+,3,1,1
2 + 6,Question 18,2,+,1,1,1
2 + 7,Question 1,2,+,7,1,1
2 + 7,Question 2,6,+,2,1,1
2 + 7,Question 3,7,+,2,1,1
2 + 7,Question 4,2,+,6,1,1
2 + 7,Question 5,2,+,7,1,1
2 + 7,Question 6,6,+,2,1,1
2 + 7,Question 7,7,+,2,1,1
2 + 7,Question 8,2,+,5,1,1
2 + 7,Question 9,2,+,7,1,1
2 + 7,Question 10,4,+,2,1,1
2 + 7,Question 11,7,+,2,1,1
2 + 7,Question 12,2,+,3,1,1
2 + 7,Question 13,2,+,7,1,1
2 + 7,Question 14,2,+,2,1,1
2 + 7,Question 15,1,+,2,1,1
2 + 7,Question 16,1,+,0,1,1
2 + 7,Question 17,1,+,1,1,1
2 + 7,Question 18,3,+,1,1,1
2 + 8 ,Question 1,2,+,8,1,1
2 + 8 ,Question 2,2,+,7,1,1
2 + 8 ,Question 3,8,+,2,1,1
2 + 8 ,Question 4,7,+,2,1,1
2 + 8 ,Question 5,2,+,8,1,1
2 + 8 ,Question 6,2,+,7,1,1
2 + 8 ,Question 7,8,+,2,1,1
2 + 8 ,Question 8,6,+,2,1,1
2 + 8 ,Question 9,2,+,8,1,1
2 + 8 ,Question 10,2,+,5,1,1
2 + 8 ,Question 11,8,+,2,1,1
2 + 8 ,Question 12,4,+,2,1,1
2 + 8 ,Question 13,2,+,8,1,1
2 + 8 ,Question 14,2,+,3,1,1
2 + 8 ,Question 15,2,+,2,1,1
2 + 8 ,Question 16,4,+,1,1,1
2 + 8 ,Question 17,1,+,5,1,1
2 + 8 ,Question 18,2,+,0,1,1
3 + 3,Question 1,3,+,3,1,1
3 + 3,Question 2,2,+,8,1,1
3 + 3,Question 3,3,+,3,1,1
3 + 3,Question 4,8,+,2,1,1
3 + 3,Question 5,3,+,3,1,1
3 + 3,Question 6,2,+,8,1,1
3 + 3,Question 7,3,+,3,1,1
3 + 3,Question 8,7,+,2,1,1
3 + 3,Question 9,3,+,3,1,1
3 + 3,Question 10,2,+,6,1,1
3 + 3,Question 11,3,+,3,1,1
3 + 3,Question 12,5,+,2,1,1
3 + 3,Question 13,3,+,3,1,1
3 + 3,Question 14,2,+,4,1,1
3 + 3,Question 15,3,+,2,1,1
3 + 3,Question 16,2,+,2,1,1
3 + 3,Question 17,1,+,6,1,1
3 + 3,Question 18,3,+,0,1,1
3 + 4,Question 1,3,+,4,1,1
3 + 4,Question 2,3,+,3,1,1
3 + 4,Question 3,4,+,3,1,1
3 + 4,Question 4,3,+,3,1,1
3 + 4,Question 5,3,+,4,1,1
3 + 4,Question 6,3,+,3,1,1
3 + 4,Question 7,4,+,3,1,1
3 + 4,Question 8,2,+,8,1,1
3 + 4,Question 9,3,+,4,1,1
3 + 4,Question 10,2,+,7,1,1
3 + 4,Question 11,4,+,3,1,1
3 + 4,Question 12,6,+,2,1,1
3 + 4,Question 13,3,+,4,1,1
3 + 4,Question 14,2,+,5,1,1
3 + 4,Question 15,4,+,2,1,1
3 + 4,Question 16,2,+,3,1,1
3 + 4,Question 17,2,+,2,1,1
3 + 4,Question 18,1,+,7,1,1
3 + 5,Question 1,3,+,5,1,1
3 + 5,Question 2,3,+,4,1,1
3 + 5,Question 3,5,+,3,1,1
3 + 5,Question 4,4,+,3,1,1
3 + 5,Question 5,3,+,5,1,1
3 + 5,Question 6,3,+,4,1,1
3 + 5,Question 7,5,+,3,1,1
3 + 5,Question 8,3,+,3,1,1
3 + 5,Question 9,3,+,5,1,1
3 + 5,Question 10,8,+,2,1,1
3 + 5,Question 11,5,+,3,1,1
3 + 5,Question 12,2,+,7,1,1
3 + 5,Question 13,3,+,5,1,1
3 + 5,Question 14,6,+,2,1,1
3 + 5,Question 15,2,+,5,1,1
3 + 5,Question 16,3,+,2,1,1
3 + 5,Question 17,8,+,1,1,1
3 + 5,Question 18,0,+,4,1,1
3 + 6,Question 1,3,+,6,1,1
3 + 6,Question 2,3,+,5,1,1
3 + 6,Question 3,6,+,3,1,1
3 + 6,Question 4,5,+,3,1,1
3 + 6,Question 5,3,+,6,1,1
3 + 6,Question 6,3,+,5,1,1
3 + 6,Question 7,6,+,3,1,1
3 + 6,Question 8,4,+,3,1,1
3 + 6,Question 9,3,+,6,1,1
3 + 6,Question 10,3,+,3,1,1
3 + 6,Question 11,6,+,3,1,1
3 + 6,Question 12,8,+,2,1,1
3 + 6,Question 13,3,+,6,1,1
3 + 6,Question 14,2,+,2,1,1
3 + 6,Question 15,1,+,9,1,1
3 + 6,Question 16,0,+,5,1,1
3 + 6,Question 17,2,+,3,1,1
3 + 6,Question 18,4,+,2,1,1
3 + 7,Question 1,3,+,7,1,1
3 + 7,Question 2,3,+,6,1,1
3 + 7,Question 3,7,+,3,1,1
3 + 7,Question 4,6,+,3,1,1
3 + 7,Question 5,3,+,7,1,1
3 + 7,Question 6,3,+,6,1,1
3 + 7,Question 7,7,+,3,1,1
3 + 7,Question 8,5,+,3,1,1
3 + 7,Question 9,3,+,7,1,1
3 + 7,Question 10,4,+,3,1,1
3 + 7,Question 11,7,+,3,1,1
3 + 7,Question 12,3,+,3,1,1
3 + 7,Question 13,3,+,7,1,1
3 + 7,Question 14,5,+,2,1,1
3 + 7,Question 15,2,+,6,1,1
3 + 7,Question 16,0,+,6,1,1
3 + 7,Question 17,7,+,0,1,1
3 + 7,Question 18,0,+,8,1,1
4 + 4,Question 1,4,+,4,1,1
4 + 4,Question 2,7,+,3,1,1
4 + 4,Question 3,4,+,4,1,1
4 + 4,Question 4,3,+,7,1,1
4 + 4,Question 5,4,+,4,1,1
4 + 4,Question 6,7,+,3,1,1
4 + 4,Question 7,4,+,4,1,1
4 + 4,Question 8,3,+,6,1,1
4 + 4,Question 9,4,+,4,1,1
4 + 4,Question 10,5,+,3,1,1
4 + 4,Question 11,4,+,4,1,1
4 + 4,Question 12,3,+,4,1,1
4 + 4,Question 13,4,+,4,1,1
4 + 4,Question 14,3,+,3,1,1
4 + 4,Question 15,8,+,2,1,1
4 + 4,Question 16,2,+,7,1,1
4 + 4,Question 17,6,+,2,1,1
4 + 4,Question 18,2,+,5,1,1
4 + 5,Question 1,4,+,5,1,1
4 + 5,Question 2,4,+,4,1,1
4 + 5,Question 3,5,+,4,1,1
4 + 5,Question 4,4,+,4,1,1
4 + 5,Question 5,4,+,5,1,1
4 + 5,Question 6,4,+,4,1,1
4 + 5,Question 7,5,+,4,1,1
4 + 5,Question 8,3,+,7,1,1
4 + 5,Question 9,4,+,5,1,1
4 + 5,Question 10,6,+,3,1,1
4 + 5,Question 11,5,+,4,1,1
4 + 5,Question 12,3,+,5,1,1
4 + 5,Question 13,4,+,5,1,1
4 + 5,Question 14,4,+,3,1,1
4 + 5,Question 15,5,+,0,1,1
4 + 5,Question 16,3,+,3,1,1
4 + 5,Question 17,3,+,2,1,1
4 + 5,Question 18,2,+,4,1,1
4 + 6,Question 1,4,+,6,1,1
4 + 6,Question 2,4,+,5,1,1
4 + 6,Question 3,6,+,4,1,1
4 + 6,Question 4,5,+,4,1,1
4 + 6,Question 5,4,+,6,1,1
4 + 6,Question 6,4,+,5,1,1
4 + 6,Question 7,6,+,4,1,1
4 + 6,Question 8,4,+,4,1,1
4 + 6,Question 9,4,+,6,1,1
4 + 6,Question 10,3,+,4,1,1
4 + 6,Question 11,6,+,4,1,1
4 + 6,Question 12,3,+,5,1,1
4 + 6,Question 13,4,+,6,1,1
4 + 6,Question 14,6,+,3,1,1
4 + 6,Question 15,3,+,7,1,1
4 + 6,Question 16,0,+,4,1,1
4 + 6,Question 17,1,+,1,1,1
4 + 6,Question 18,2,+,1,1,1
5 + 5,Question 1,5,+,5,1,1
5 + 5,Question 2,6,+,4,1,1
5 + 5,Question 3,5,+,5,1,1
5 + 5,Question 4,4,+,6,1,1
5 + 5,Question 5,5,+,5,1,1
5 + 5,Question 6,6,+,4,1,1
5 + 5,Question 7,5,+,5,1,1
5 + 5,Question 8,5,+,4,1,1
5 + 5,Question 9,5,+,5,1,1
5 + 5,Question 10,4,+,2,1,1
5 + 5,Question 11,5,+,5,1,1
5 + 5,Question 12,3,+,4,1,1
5 + 5,Question 13,5,+,5,1,1
5 + 5,Question 14,3,+,6,1,1
5 + 5,Question 15,7,+,3,1,1
5 + 5,Question 16,5,+,0,1,1
5 + 5,Question 17,3,+,1,1,1
5 + 5,Question 18,1,+,4,1,1
Zero Rule,Question 1,0,+,1,0,1
Zero Rule,Question 2,0,+,2,0,1
Zero Rule,Question 3,0,+,3,0,1
Zero Rule,Question 4,0,+,4,0,1
Zero Rule,Question 5,0,+,5,0,1
Zero Rule,Question 6,0,+,6,0,1
Zero Rule,Question 7,0,+,7,0,1
Zero Rule,Question 8,0,+,8,0,1
Zero Rule,Question 9,0,+,9,0,1
Zero Rule,Question 10,1,+,0,0,1
Zero Rule,Question 11,2,+,0,0,1
Zero Rule,Question 12,3,+,0,0,1
Zero Rule,Question 13,4,+,0,0,1
Zero Rule,Question 14,5,+,0,0,1
Zero Rule,Question 15,6,+,0,0,1
Zero Rule,Question 16,7,+,0,0,1
Zero Rule,Question 17,8,+,0,0,1
Zero Rule,Question 18,9,+,0,0,1
One Rule,Question 1,1,+,1,0,1
One Rule,Question 2,1,+,2,0,1
One Rule,Question 3,1,+,3,0,1
One Rule,Question 4,1,+,4,0,1
One Rule,Question 5,1,+,5,0,1
One Rule,Question 6,1,+,6,0,1
One Rule,Question 7,1,+,7,0,1
One Rule,Question 8,1,+,8,0,1
One Rule,Question 9,1,+,9,0,1
One Rule,Question 10,9,+,1,0,1
One Rule,Question 11,8,+,1,0,1
One Rule,Question 12,7,+,1,0,1
One Rule,Question 13,6,+,1,0,1
One Rule,Question 14,5,+,1,0,1
One Rule,Question 15,4,+,1,0,1
One Rule,Question 16,3,+,1,0,1
One Rule,Question 17,2,+,1,0,1
One Rule,Question 18,1,+,0,0,1
2 + 2,Question 1,2,+,2,0,1
2 + 2,Question 2,1,+,0,0,1
2 + 2,Question 3,2,+,2,0,1
2 + 2,Question 4,1,+,1,0,1
2 + 2,Question 5,2,+,2,0,1
2 + 2,Question 6,3,+,1,0,1
2 + 2,Question 7,2,+,2,0,1
2 + 2,Question 8,0,+,9,0,1
2 + 2,Question 9,2,+,2,0,1
2 + 2,Question 10,8,+,0,0,1
2 + 2,Question 11,2,+,2,0,1
2 + 2,Question 12,0,+,7,0,1
2 + 2,Question 13,2,+,2,0,1
2 + 2,Question 14,0,+,6,0,1
2 + 2,Question 15,5,+,0,0,1
2 + 2,Question 16,0,+,4,0,1
2 + 2,Question 17,3,+,0,0,1
2 + 2,Question 18,0,+,2,0,1
2 + 3,Question 1,2,+,3,0,1
2 + 3,Question 2,2,+,2,0,1
2 + 3,Question 3,3,+,2,0,1
2 + 3,Question 4,2,+,2,0,1
2 + 3,Question 5,2,+,3,0,1
2 + 3,Question 6,2,+,2,0,1
2 + 3,Question 7,3,+,2,0,1
2 + 3,Question 8,1,+,4,0,1
2 + 3,Question 9,2,+,3,0,1
2 + 3,Question 10,5,+,1,0,1
2 + 3,Question 11,3,+,2,0,1
2 + 3,Question 12,1,+,6,0,1
2 + 3,Question 13,2,+,3,0,1
2 + 3,Question 14,1,+,7,0,1
2 + 3,Question 15,1,+,0,0,1
2 + 3,Question 16,0,+,2,0,1
2 + 3,Question 17,3,+,0,0,1
2 + 3,Question 18,0,+,4,0,1
2 + 4,Question 1,2,+,4,0,1
2 + 4,Question 2,2,+,3,0,1
2 + 4,Question 3,4,+,2,0,1
2 + 4,Question 4,3,+,2,0,1
2 + 4,Question 5,2,+,4,0,1
2 + 4,Question 6,2,+,3,0,1
2 + 4,Question 7,4,+,2,0,1
2 + 4,Question 8,1,+,8,0,1
2 + 4,Question 9,2,+,4,0,1
2 + 4,Question 10,9,+,1,0,1
2 + 4,Question 11,4,+,2,0,1
2 + 4,Question 12,1,+,7,0,1
2 + 4,Question 13,2,+,4,0,1
2 + 4,Question 14,2,+,2,0,1
2 + 4,Question 15,8,+,0,0,1
2 + 4,Question 16,0,+,7,0,1
2 + 4,Question 17,6,+,0,0,1
2 + 4,Question 18,0,+,5,0,1
2 + 5,Question 1,2,+,5,0,1
2 + 5,Question 2,2,+,4,0,1
2 + 5,Question 3,5,+,2,0,1
2 + 5,Question 4,4,+,2,0,1
2 + 5,Question 5,2,+,5,0,1
2 + 5,Question 6,2,+,4,0,1
2 + 5,Question 7,5,+,2,0,1
2 + 5,Question 8,3,+,2,0,1
2 + 5,Question 9,2,+,5,0,1
2 + 5,Question 10,2,+,3,0,1
2 + 5,Question 11,5,+,2,0,1
2 + 5,Question 12,2,+,2,0,1
2 + 5,Question 13,2,+,5,0,1
2 + 5,Question 14,2,+,2,0,1
2 + 5,Question 15,1,+,6,0,1
2 + 5,Question 16,5,+,1,0,1
2 + 5,Question 17,0,+,9,0,1
2 + 5,Question 18,1,+,0,0,1
2 + 6,Question 1,2,+,6,0,1
2 + 6,Question 2,2,+,5,0,1
2 + 6,Question 3,6,+,2,0,1
2 + 6,Question 4,5,+,2,0,1
2 + 6,Question 5,2,+,6,0,1
2 + 6,Question 6,2,+,5,0,1
2 + 6,Question 7,6,+,2,0,1
2 + 6,Question 8,4,+,2,0,1
2 + 6,Question 9,2,+,6,0,1
2 + 6,Question 10,2,+,3,0,1
2 + 6,Question 11,6,+,2,0,1
2 + 6,Question 12,2,+,2,0,1
2 + 6,Question 13,2,+,6,0,1
2 + 6,Question 14,2,+,0,0,1
2 + 6,Question 15,0,+,3,0,1
2 + 6,Question 16,4,+,1,0,1
2 + 6,Question 17,1,+,3,0,1
2 + 6,Question 18,2,+,1,0,1
2 + 7,Question 1,2,+,7,0,1
2 + 7,Question 2,6,+,2,0,1
2 + 7,Question 3,7,+,2,0,1
2 + 7,Question 4,2,+,6,0,1
2 + 7,Question 5,2,+,7,0,1
2 + 7,Question 6,6,+,2,0,1
2 + 7,Question 7,7,+,2,0,1
2 + 7,Question 8,2,+,5,0,1
2 + 7,Question 9,2,+,7,0,1
2 + 7,Question 10,4,+,2,0,1
2 + 7,Question 11,7,+,2,0,1
2 + 7,Question 12,2,+,3,0,1
2 + 7,Question 13,2,+,7,0,1
2 + 7,Question 14,2,+,2,0,1
2 + 7,Question 15,1,+,2,0,1
2 + 7,Question 16,1,+,0,0,1
2 + 7,Question 17,1,+,1,0,1
2 + 7,Question 18,3,+,1,0,1
2 + 8 ,Question 1,2,+,8,0,1
2 + 8 ,Question 2,2,+,7,0,1
2 + 8 ,Question 3,8,+,2,0,1
2 + 8 ,Question 4,7,+,2,0,1
2 + 8 ,Question 5,2,+,8,0,1
2 + 8 ,Question 6,2,+,7,0,1
2 + 8 ,Question 7,8,+,2,0,1
2 + 8 ,Question 8,6,+,2,0,1
2 + 8 ,Question 9,2,+,8,0,1
2 + 8 ,Question 10,2,+,5,0,1
2 + 8 ,Question 11,8,+,2,0,1
2 + 8 ,Question 12,4,+,2,0,1
2 + 8 ,Question 13,2,+,8,0,1
2 + 8 ,Question 14,2,+,3,0,1
2 + 8 ,Question 15,2,+,2,0,1
2 + 8 ,Question 16,4,+,1,0,1
2 + 8 ,Question 17,1,+,5,0,1
2 + 8 ,Question 18,2,+,0,0,1
3 + 3,Question 1,3,+,3,0,1
3 + 3,Question 2,2,+,8,0,1
3 + 3,Question 3,3,+,3,0,1
3 + 3,Question 4,8,+,2,0,1
3 + 3,Question 5,3,+,3,0,1
3 + 3,Question 6,2,+,8,0,1
3 + 3,Question 7,3,+,3,0,1
3 + 3,Question 8,7,+,2,0,1
3 + 3,Question 9,3,+,3,0,1
3 + 3,Question 10,2,+,6,0,1
3 + 3,Question 11,3,+,3,0,1
3 + 3,Question 12,5,+,2,0,1
3 + 3,Question 13,3,+,3,0,1
3 + 3,Question 14,2,+,4,0,1
3 + 3,Question 15,3,+,2,0,1
3 + 3,Question 16,2,+,2,0,1
3 + 3,Question 17,1,+,6,0,1
3 + 3,Question 18,3,+,0,0,1
3 + 4,Question 1,3,+,4,0,1
3 + 4,Question 2,3,+,3,0,1
3 + 4,Question 3,4,+,3,0,1
3 + 4,Question 4,3,+,3,0,1
3 + 4,Question 5,3,+,4,0,1
3 + 4,Question 6,3,+,3,0,1
3 + 4,Question 7,4,+,3,0,1
3 + 4,Question 8,2,+,8,0,1
3 + 4,Question 9,3,+,4,0,1
3 + 4,Question 10,2,+,7,0,1
3 + 4,Question 11,4,+,3,0,1
3 + 4,Question 12,6,+,2,0,1
3 + 4,Question 13,3,+,4,0,1
3 + 4,Question 14,2,+,5,0,1
3 + 4,Question 15,4,+,2,0,1
3 + 4,Question 16,2,+,3,0,1
3 + 4,Question 17,2,+,2,0,1
3 + 4,Question 18,1,+,7,0,1
3 + 5,Question 1,3,+,5,0,1
3 + 5,Question 2,3,+,4,0,1
3 + 5,Question 3,5,+,3,0,1
3 + 5,Question 4,4,+,3,0,1
3 + 5,Question 5,3,+,5,0,1
3 + 5,Question 6,3,+,4,0,1
3 + 5,Question 7,5,+,3,0,1
3 + 5,Question 8,3,+,3,0,1
3 + 5,Question 9,3,+,5,0,1
3 + 5,Question 10,8,+,2,0,1
3 + 5,Question 11,5,+,3,0,1
3 + 5,Question 12,2,+,7,0,1
3 + 5,Question 13,3,+,5,0,1
3 + 5,Question 14,6,+,2,0,1
3 + 5,Question 15,2,+,5,0,1
3 + 5,Question 16,3,+,2,0,1
3 + 5,Question 17,8,+,1,0,1
3 + 5,Question 18,0,+,4,0,1
3 + 6,Question 1,3,+,6,0,1
3 + 6,Question 2,3,+,5,0,1
3 + 6,Question 3,6,+,3,0,1
3 + 6,Question 4,5,+,3,0,1
3 + 6,Question 5,3,+,6,0,1
3 + 6,Question 6,3,+,5,0,1
3 + 6,Question 7,6,+,3,0,1
3 + 6,Question 8,4,+,3,0,1
3 + 6,Question 9,3,+,6,0,1
3 + 6,Question 10,3,+,3,0,1
3 + 6,Question 11,6,+,3,0,1
3 + 6,Question 12,8,+,2,0,1
3 + 6,Question 13,3,+,6,0,1
3 + 6,Question 14,2,+,2,0,1
3 + 6,Question 15,1,+,9,0,1
3 + 6,Question 16,0,+,5,0,1
3 + 6,Question 17,2,+,3,0,1
3 + 6,Question 18,4,+,2,0,1
3 + 7,Question 1,3,+,7,0,1
3 + 7,Question 2,3,+,6,0,1
3 + 7,Question 3,7,+,3,0,1
3 + 7,Question 4,6,+,3,0,1
3 + 7,Question 5,3,+,7,0,1
3 + 7,Question 6,3,+,6,0,1
3 + 7,Question 7,7,+,3,0,1
3 + 7,Question 8,5,+,3,0,1
3 + 7,Question 9,3,+,7,0,1
3 + 7,Question 10,4,+,3,0,1
3 + 7,Question 11,7,+,3,0,1
3 + 7,Question 12,3,+,3,0,1
3 + 7,Question 13,3,+,7,0,1
3 + 7,Question 14,5,+,2,0,1
3 + 7,Question 15,2,+,6,0,1
3 + 7,Question 16,0,+,6,0,1
3 + 7,Question 17,7,+,0,0,1
3 + 7,Question 18,0,+,8,0,1
4 + 4,Question 1,4,+,4,0,1
4 + 4,Question 2,7,+,3,0,1
4 + 4,Question 3,4,+,4,0,1
4 + 4,Question 4,3,+,7,0,1
4 + 4,Question 5,4,+,4,0,1
4 + 4,Question 6,7,+,3,0,1
4 + 4,Question 7,4,+,4,0,1
4 + 4,Question 8,3,+,6,0,1
4 + 4,Question 9,4,+,4,0,1
4 + 4,Question 10,5,+,3,0,1
4 + 4,Question 11,4,+,4,0,1
4 + 4,Question 12,3,+,4,0,1
4 + 4,Question 13,4,+,4,0,1
4 + 4,Question 14,3,+,3,0,1
4 + 4,Question 15,8,+,2,0,1
4 + 4,Question 16,2,+,7,0,1
4 + 4,Question 17,6,+,2,0,1
4 + 4,Question 18,2,+,5,0,1
4 + 5,Question 1,4,+,5,0,1
4 + 5,Question 2,4,+,4,0,1
4 + 5,Question 3,5,+,4,0,1
4 + 5,Question 4,4,+,4,0,1
4 + 5,Question 5,4,+,5,0,1
4 + 5,Question 6,4,+,4,0,1
4 + 5,Question 7,5,+,4,0,1
4 + 5,Question 8,3,+,7,0,1
4 + 5,Question 9,4,+,5,0,1
4 + 5,Question 10,6,+,3,0,1
4 + 5,Question 11,5,+,4,0,1
4 + 5,Question 12,3,+,5,0,1
4 + 5,Question 13,4,+,5,0,1
4 + 5,Question 14,4,+,3,0,1
4 + 5,Question 15,5,+,0,0,1
4 + 5,Question 16,3,+,3,0,1
4 + 5,Question 17,3,+,2,0,1
4 + 5,Question 18,2,+,4,0,1
4 + 6,Question 1,4,+,6,0,1
4 + 6,Question 2,4,+,5,0,1
4 + 6,Question 3,6,+,4,0,1
4 + 6,Question 4,5,+,4,0,1
4 + 6,Question 5,4,+,6,0,1
4 + 6,Question 6,4,+,5,0,1
4 + 6,Question 7,6,+,4,0,1
4 + 6,Question 8,4,+,4,0,1
4 + 6,Question 9,4,+,6,0,1
4 + 6,Question 10,3,+,4,0,1
4 + 6,Question 11,6,+,4,0,1
4 + 6,Question 12,3,+,5,0,1
4 + 6,Question 13,4,+,6,0,1
4 + 6,Question 14,6,+,3,0,1
4 + 6,Question 15,3,+,7,0,1
4 + 6,Question 16,0,+,4,0,1
4 + 6,Question 17,1,+,1,0,1
4 + 6,Question 18,2,+,1,0,1
5 + 5,Question 1,5,+,5,0,1
5 + 5,Question 2,6,+,4,0,1
5 + 5,Question 3,5,+,5,0,1
5 + 5,Question 4,4,+,6,0,1
5 + 5,Question 5,5,+,5,0,1
5 + 5,Question 6,6,+,4,0,1
5 + 5,Question 7,5,+,5,0,1
5 + 5,Question 8,5,+,4,0,1
5 + 5,Question 9,5,+,5,0,1
5 + 5,Question 10,4,+,2,0,1
5 + 5,Question 11,5,+,5,0,1
5 + 5,Question 12,3,+,4,0,1
5 + 5,Question 13,5,+,5,0,1
5 + 5,Question 14,3,+,6,0,1
5 + 5,Question 15,7,+,3,0,1
5 + 5,Question 16,5,+,0,0,1
5 + 5,Question 17,3,+,1,0,1
5 + 5,Question 18,1,+,4,0,1
